,time,username,likes
3992,2015-01-12 05:00:00+00,dollartree,1372307
3998,2015-01-12 05:00:00+00,invisalign,82375
4031,2015-01-12 05:00:00+00,dexcom,15053
4070,2015-01-12 05:00:00+00,Cerner,12481
4093,2015-01-12 05:00:00+00,Costco,1244753
4103,2015-01-12 05:00:00+00,xcelenergy,14947
4121,2015-01-12 05:00:00+00,LamResearchCorporation,1631
4132,2015-01-12 05:00:00+00,Verisign,292614
4144,2015-01-13 05:00:00+00,Cintas,10729
4168,2015-01-13 05:00:00+00,lululemon,1115946
4182,2015-01-13 05:00:00+00,EA,3497194
4227,2015-01-13 05:00:00+00,Qualcomm,1234658
4243,2015-01-13 05:00:00+00,eBayGlobal,3327923
4253,2015-01-13 05:00:00+00,OfficialCSX,139178
4285,2015-01-13 05:00:00+00,Walgreens,4374721
4300,2015-01-13 05:00:00+00,Cerner,12486
4336,2015-01-13 05:00:00+00,Verisign,295093
4412,2015-01-13 05:00:00+00,Costco,1245173
4416,2015-01-13 05:00:00+00,marriottinternational,232181
4419,2015-01-13 05:00:00+00,LamResearchCorporation,1638
4449,2015-01-13 05:00:00+00,illuminainc,3551
4463,2015-01-13 05:00:00+00,xcelenergy,14949
4465,2015-01-13 05:00:00+00,Broadcom,9284
4501,2015-01-13 05:00:00+00,invisalign,82396
4509,2015-01-13 05:00:00+00,dollartree,1372597
4550,2015-01-13 05:00:00+00,CDWCorporation,59597
4564,2015-01-13 05:00:00+00,splunk,6585
4577,2015-01-13 05:00:00+00,Copart,95946
4581,2015-01-13 05:00:00+00,dexcom,15066
4582,2015-01-13 05:00:00+00,Kraft,37329
4614,2015-01-14 05:00:00+00,LamResearchCorporation,1643
4637,2015-01-14 05:00:00+00,invisalign,82412
4641,2015-01-14 05:00:00+00,splunk,6599
4654,2015-01-14 05:00:00+00,EA,3499001
4660,2015-01-14 05:00:00+00,OfficialCSX,139214
4686,2015-01-14 05:00:00+00,illuminainc,3559
4744,2015-01-14 05:00:00+00,Cintas,10733
4745,2015-01-14 05:00:00+00,CDWCorporation,59597
4755,2015-01-14 05:00:00+00,marriottinternational,232237
4808,2015-01-14 05:00:00+00,dollartree,1372831
4826,2015-01-14 05:00:00+00,Cerner,12493
4832,2015-01-14 05:00:00+00,Broadcom,9291
4888,2015-01-14 05:00:00+00,dexcom,15082
4921,2015-01-14 05:00:00+00,Qualcomm,1234709
4930,2015-01-14 05:00:00+00,Walgreens,4374917
4962,2015-01-14 05:00:00+00,eBayGlobal,3328817
4968,2015-01-14 05:00:00+00,xcelenergy,14949
4969,2015-01-14 05:00:00+00,Costco,1245453
4982,2015-01-14 05:00:00+00,Verisign,297833
5017,2015-01-14 05:00:00+00,Kraft,37367
5023,2015-01-14 05:00:00+00,lululemon,1116751
5027,2015-01-14 05:00:00+00,Copart,96152
5105,2015-01-15 05:00:00+00,Verisign,304033
5117,2015-01-15 05:00:00+00,Copart,96347
5141,2015-01-15 05:00:00+00,illuminainc,3567
5148,2015-01-15 05:00:00+00,dollartree,1373113
5157,2015-01-15 05:00:00+00,splunk,6614
